time,logger,level,message,exception
2011-08-06 14:05:42.4502,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1061 and etag ,
2011-08-06 14:05:42.4502,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1061', update: False, ",
2011-08-06 14:05:42.4502,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1062 and etag ,
2011-08-06 14:05:42.4502,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1062', update: False, ",
2011-08-06 14:05:42.4502,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1063 and etag ,
2011-08-06 14:05:42.4502,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1063', update: False, ",
2011-08-06 14:05:42.4502,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1064 and etag ,
2011-08-06 14:05:42.4502,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1064', update: False, ",
2011-08-06 14:05:42.4502,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1065 and etag ,
2011-08-06 14:05:42.4502,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1065', update: False, ",
2011-08-06 14:05:42.4502,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1066 and etag ,
2011-08-06 14:05:42.4502,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1066', update: False, ",
2011-08-06 14:05:42.4502,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1067 and etag ,
2011-08-06 14:05:42.4502,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1067', update: False, ",
2011-08-06 14:05:42.4502,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1068 and etag ,
2011-08-06 14:05:42.4502,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1068', update: False, ",
